location,ss
Peru,6089
Bulgaria,4628
Bosnia and Herzegovina,4204
Hungary,4168
Montenegro,3916
North Macedonia,3874
Georgia,3607
Czechia,3428
Croatia,3186
Slovakia,3136
Romania,3092
San Marino,3028
Gibraltar,2968
Brazil,2901
Lithuania,2826
South America,2754
Slovenia,2734
Armenia,2700
Poland,2683
Moldova,2588
Argentina,2583
Colombia,2547
United States,2542
Latvia,2517
Belgium,2455
Ukraine,2401
Italy,2322
Mexico,2310
Paraguay,2308
French Polynesia,2251
Trinidad and Tobago,2233
United Kingdom,2220
Tunisia,2156
Russia,2143
Greece,2095
Europe,2093
North America,2088
European Union,2069
Chile,2047
Suriname,2032
Spain,1938
Serbia,1892
Portugal,1888
Ecuador,1883
Liechtenstein,1882
France,1877
Andorra,1822
Bahamas,1811
Uruguay,1782
Grenada,1778
Bermuda,1771
Aruba,1716
Panama,1708
Bolivia,1698
Saint Lucia,1686
Kosovo,1680
High income,1635
Iran,1552
South Africa,1548
Austria,1536
Sweden,1523
Belize,1499
Estonia,1484
Luxembourg,1466
Namibia,1462
Costa Rica,1440
Switzerland,1428
Lebanon,1379
Germany,1374
Seychelles,1374
Guyana,1360
British Virgin Islands,1314
Jordan,1260
Netherlands,1234
Antigua and Barbuda,1215
Ireland,1211
Curacao,1207
Eswatini,1153
Albania,1132
Monaco,1113
Botswana,1048
Honduras,1038
Turkey,991
New Caledonia,974
Malaysia,968
Kazakhstan,962
Malta,961
Palestine,958
Bonaire Sint Eustatius and Saba,945
Barbados,934
Upper middle income,909
Israel,892
Guatemala,884
Jamaica,845
Libya,836
Azerbaijan,830
Canada,821
Isle of Man,819
Bahrain,799
Fiji,798
Oman,788
Saint Vincent and the Grenadines,763
Cyprus,749
Cuba,736
Turks and Caicos Islands,713
Sri Lanka,705
World,701
Cape Verde,658
Dominica,651
Wallis and Futuna,630
Mongolia,624
Belarus,611
Denmark,593
Iraq,588
El Salvador,587
Kuwait,571
Saint Kitts and Nevis,522
Indonesia,521
Maldives,485
Philippines,474
Kyrgyzstan,426
Morocco,400
Anguilla,396
Nepal,391
Dominican Republic,388
Lower middle income,362
Vietnam,358
Myanmar,352
India,348
Zimbabwe,346
Lesotho,318
Thailand,312
Finland,306
Faeroe Islands,305
Sao Tome and Principe,291
Asia,272
Norway,252
Saudi Arabia,251
Brunei,221
United Arab Emirates,218
Qatar,212
Egypt,211
Cayman Islands,210
Zambia,202
Montserrat,200
Djibouti,188
Mauritius,188
Mauritania,187
Venezuela,187
Afghanistan,185
Comoros,178
Cambodia,177
Africa,169
Bangladesh,169
Syria,160
Singapore,153
Japan,146
Algeria,143
Gambia,138
Gabon,130
Pakistan,128
Malawi,124
Equatorial Guinea,122
South Korea,121
Iceland,116
Oceania,112
Senegal,110
Rwanda,105
Australia,99
Kenya,99
Timor,90
Somalia,81
Guinea-Bissau,74
Sudan,74
Uganda,71
Cameroon,68
Haiti,67
Congo,65
Mozambique,65
Papua New Guinea,65
Yemen,65
Laos,63
Ethiopia,60
Low income,58
Liberia,55
Angola,54
Uzbekistan,44
Ghana,42
Madagascar,39
Greenland,35
Taiwan,35
Mali,32
Nicaragua,32
Guinea,30
Togo,30
Hong Kong,28
Cote d'Ivoire,27
Eritrea,23
Central African Republic,21
Burkina Faso,15
Sierra Leone,15
Nigeria,14
Benin,13
Democratic Republic of Congo,13
Tajikistan,12
Tanzania,12
Niger,11
South Sudan,11
Chad,10
New Zealand,10
Bhutan,3
Burundi,3
China,3
Vanuatu,3
